Target,Marital status,Application mode,Application order,Course,Daytime/evening attendance	=0,Daytime/evening attendance	=1,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced=0,Displaced=1,Educational special needs=0,Educational special needs=1,Debtor=0,Debtor=1,Tuition fees up to date=0,Tuition fees up to date=1,Gender=0,Gender=1,Scholarship holder=0,Scholarship holder=1,Age at enrollment,International=0,International=1,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
Dropout Enrolled Graduate,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropout,-0.295,-0.095,2.491,-4.20952,0,1,-0.350,-0.8048,-0.126,-0.036,-0.670,-0.226,-0.080,0.0222,0,1,1,0,1,0,0,1,0,1,1,0,-0.430,1,0,-0.301,-2.529,-1.986,-1.521,-2.1971,-0.199,-0.282,-2.838,-2.043,-1.472,-1.96349,-0.199,-0.288,0.124,0.7658
Graduate,-0.295,-0.210,-0.554,0.19258,0,1,-0.350,2.0768,-0.126,-1.190,-1.256,-0.301,-0.318,1.0719,0,1,1,0,1,0,1,0,0,1,1,0,-0.562,1,0,-0.301,-0.109,-0.550,0.418,0.693599,-0.199,-0.282,-0.106,-0.523,0.519,0.659562,-0.199,0.876,-1.105,0.3472
Dropout,-0.295,-1.011,2.491,0.10340,0,1,-0.350,-0.8048,-0.126,1.118,0.960,-0.074,-0.080,-0.1504,0,1,1,0,1,0,1,0,0,1,1,0,-0.562,1,0,-0.301,-0.109,-1.986,-1.521,-2.1971,-0.199,-0.282,-0.106,-2.043,-1.472,-1.96349,-0.199,-0.288,0.124,0.7658
Graduate,-0.295,-0.095,0.207,0.44412,0,1,-0.350,-0.8048,-0.126,1.182,0.960,-0.226,-0.318,-0.5095,0,1,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,-0.109,-0.072,0.418,0.575611,-0.199,-0.282,-0.106,0.491,0.187,0.41645,-0.199,-0.813,-1.467,-1.3755
Graduate,1.356,1.163,-0.554,-0.40839,1,0,-0.350,-2.4732,-0.126,1.118,1.025,-0.074,-0.080,1.0029,1,0,1,0,1,0,0,1,1,0,1,0,2.865,1,0,-0.301,-0.109,0.168,0.095,0.349468,-0.199,-0.282,-0.106,-0.523,0.519,0.531608,-0.199,0.876,-1.105,0.3472
Graduate,1.356,1.163,-0.554,0.54977,1,0,1.412,0.0369,-0.126,1.118,0.960,-0.074,-0.160,-0.8410,1,0,1,0,0,1,0,1,0,1,1,0,3.524,1,0,-0.301,-0.512,0.407,0.095,0.251144,-0.199,-0.282,-0.561,2.264,0.187,0.243712,6.435,1.740,-0.671,-0.4062
Graduate,-0.295,-1.011,-0.554,0.31180,0,1,-0.350,0.7118,-0.126,-0.036,1.025,-0.150,-0.041,0.0982,0,1,1,0,1,0,0,1,1,0,0,1,-0.694,1,0,-0.301,0.294,0.168,0.741,0.549064,-0.199,-0.282,0.805,-0.016,1.182,0.789755,-0.199,1.477,1.137,-1.7897
Dropout,-0.295,-0.038,1.730,0.19258,0,1,-0.350,-1.0323,-0.126,1.118,0.960,-0.074,-0.080,-0.9584,0,1,1,0,1,0,1,0,0,1,1,0,-0.167,1,0,-0.301,-0.512,-0.790,-1.521,-2.1971,-0.199,-0.282,-0.561,-0.776,-1.472,-1.96349,-0.199,1.477,1.137,-1.7897
Graduate,-0.295,-1.011,0.968,0.18483,0,1,-0.350,0.3327,8.697,-1.190,-1.387,-0.074,-0.080,0.1603,1,0,1,0,1,0,0,1,1,0,0,1,-0.299,0,1,-0.301,-0.109,-0.072,0.418,0.667789,-0.199,-0.282,-0.106,-0.269,0.519,0.750957,-0.199,1.740,-0.671,-0.4062
Dropout,-0.295,-1.011,-0.554,0.18483,0,1,-0.350,0.4085,-0.126,-1.190,-0.213,-0.264,-0.160,-0.2747,0,1,1,0,0,1,1,0,1,0,1,0,-0.694,1,0,-0.301,-0.109,0.168,0.095,0.156754,-0.199,-0.282,-0.106,1.504,-0.808,0.627573,-0.199,-1.001,0.124,1.5456
Graduate,-0.295,-1.011,-0.554,0.39420,0,1,-0.350,0.4843,-0.126,1.182,-0.213,-0.226,-0.160,0.2501,0,1,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,-0.109,-0.550,0.418,0.349468,-0.199,-0.282,-0.106,-0.269,0.187,0.761925,-0.199,0.876,-1.105,0.3472
Graduate,-0.295,-1.011,-0.554,0.31180,0,1,-0.350,0.2568,-0.126,-0.036,1.025,-0.074,-0.080,-0.5302,0,1,1,0,1,0,0,1,1,0,0,1,-0.694,1,0,-0.301,0.697,-0.072,0.741,0.531365,-0.199,-0.282,0.805,-0.016,0.851,0.572736,-0.199,0.426,1.788,-0.7499
Dropout,-0.295,-1.011,0.207,0.48289,0,1,-0.350,0.0293,-0.126,-0.036,0.960,-0.264,-0.080,0.2225,0,1,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.109,-0.550,-1.521,-2.1971,-0.199,-0.282,-0.106,-2.043,-1.472,-1.96349,-0.199,0.426,1.788,-0.7499
Graduate,-0.295,1.964,-0.554,0.19258,0,1,3.663,-1.7148,-0.126,-1.190,-1.387,-0.264,-0.160,-1.0482,0,1,1,0,1,0,0,1,1,0,0,1,-0.299,1,0,-0.301,-0.109,-0.311,0.418,-0.0143282,-0.199,-0.282,-0.106,-0.016,0.187,0.147747,-0.199,-1.001,0.124,1.5456
Graduate,-0.295,-1.011,-0.554,0.11067,0,1,-0.350,1.2427,-0.126,1.182,0.960,-0.226,-0.239,0.6990,0,1,1,0,1,0,0,1,1,0,0,1,-0.694,1,0,-0.301,-0.512,-0.311,-0.228,0.53874,-0.199,-0.282,-0.561,-0.776,0.187,0.339678,-0.199,-0.288,0.124,0.7658
Dropout,-0.295,-1.011,-0.554,0.44412,0,1,-0.350,-0.4257,-0.126,-0.036,0.960,-0.074,-0.318,-0.4336,0,1,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,-0.109,-0.550,0.095,0.528416,-0.199,-0.282,-0.106,-0.269,-1.472,-1.96349,-0.199,1.477,1.137,-1.7897
Enrolled,-0.295,-0.038,-0.554,0.18483,0,1,-0.350,0.3327,-0.126,-0.036,1.025,-0.226,-0.120,0.7197,0,1,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,-0.109,0.407,-1.198,0.280641,-0.199,-0.282,-0.106,1.504,-0.808,0.147747,-0.199,-0.288,0.124,0.7658
Graduate,-0.295,-0.095,0.207,0.31180,0,1,-0.350,0.1810,-0.126,-0.036,-1.387,-0.226,-0.278,0.0222,0,1,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,0.294,-0.072,0.741,0.550354,-0.199,-0.282,0.805,-0.016,1.182,0.828141,-0.199,1.477,1.137,-1.7897
Graduate,-0.295,-1.011,-0.554,0.13248,0,1,-0.350,0.3327,-0.126,-1.062,-0.213,-0.301,-0.239,0.6438,0,1,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,-0.512,-0.072,-0.228,0.383881,1.248,-0.282,-0.561,-0.016,-0.145,0.38766,2.454,-0.288,0.124,0.7658
Enrolled,-0.295,-1.011,-0.554,0.48289,0,1,-0.350,0.5602,-0.126,-0.036,-0.213,-0.150,-0.160,-0.1642,0,1,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,0.294,-0.311,0.418,0.211815,-0.199,-0.282,0.350,-0.016,0.519,0.627573,-0.199,1.740,-0.671,-0.4062
Graduate,-0.295,-1.011,0.968,-4.20952,0,1,-0.350,-0.8048,-0.126,-1.190,-1.387,-0.074,-0.120,-0.4612,1,0,1,0,1,0,0,1,1,0,0,1,-0.299,1,0,-0.301,-2.529,-1.986,-1.521,-2.1971,-0.199,-0.282,-2.838,-2.043,-1.472,-1.96349,-0.199,-0.175,-0.454,0.8891
Enrolled,-0.295,-0.038,1.730,0.33895,0,1,-0.350,-0.4257,-0.126,-1.190,1.025,-0.264,-0.160,-0.3576,0,1,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,0.294,1.364,0.741,0.164497,-0.199,-0.282,0.805,0.237,1.182,0.229317,-0.199,0.426,1.788,-0.7499
Graduate,-0.295,-1.011,1.730,0.31180,0,1,-0.350,0.7118,-0.126,-0.036,-0.213,-0.377,-0.397,-0.1021,0,1,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,0.697,0.886,0.741,0.457623,-0.199,-0.282,0.805,0.997,0.851,0.504189,-0.199,0.426,1.788,-0.7499
Graduate,-0.295,-1.011,1.730,0.39420,0,1,-0.350,-0.5773,-0.126,-1.190,1.025,-0.264,-0.160,-0.8341,0,1,1,0,1,0,0,1,1,0,0,1,-0.562,1,0,-0.301,-0.109,-0.072,0.418,0.564549,-0.199,-0.282,-0.106,-0.269,0.519,0.394515,-0.199,-0.175,-0.454,0.8891
Graduate,-0.295,-1.011,-0.554,0.31180,0,1,-0.350,-0.5015,-0.126,-0.036,-0.213,-0.301,-0.160,-0.2126,1,0,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,0.294,-0.072,0.418,0.548375,-0.199,-0.282,0.805,0.237,0.851,0.745473,-0.199,-0.175,-0.454,0.8891
